test_case,observable,method,noise_level,derivative_order,rmse,eval_time,fit_time,success,implementation,mae,max_error,category
brusselator,X(t),GP_Periodic_Python,0.0,2,7.17110861331134,1.8291211128234863,0.6626043319702148,True,Python,,,
brusselator,X(t),GP_Periodic_Python,0.0,3,102.12600028627855,1.8291211128234863,0.6626043319702148,True,Python,,,
brusselator,Y(t),CubicSpline_Python,0.0,0,0.0,0.0018479824066162,0.0016541481018066,True,Python,,,
brusselator,Y(t),CubicSpline_Python,0.0,1,0.2881069731171354,0.0018479824066162,0.0016541481018066,True,Python,,,
brusselator,Y(t),CubicSpline_Python,0.0,2,2.9205789964993576,0.0018479824066162,0.0016541481018066,True,Python,,,
brusselator,Y(t),CubicSpline_Python,0.0,3,62.140192155782906,0.0018479824066162,0.0016541481018066,True,Python,,,
brusselator,Y(t),SmoothingSpline_Python,0.0,0,0.0314658108922286,0.0006313323974609,0.0003490447998046,True,Python,,,
brusselator,Y(t),SmoothingSpline_Python,0.0,1,0.4107963275650921,0.0006313323974609,0.0003490447998046,True,Python,,,
brusselator,Y(t),SmoothingSpline_Python,0.0,2,1.988105044142543,0.0006313323974609,0.0003490447998046,True,Python,,,
brusselator,Y(t),SmoothingSpline_Python,0.0,3,68.57857027695093,0.0006313323974609,0.0003490447998046,True,Python,,,
brusselator,Y(t),RBF_ThinPlate_Python,0.0,0,1.0527413513730307e-12,0.000493049621582,0.000298261642456,True,Python,,,
brusselator,Y(t),RBF_Multiquadric_Python,0.0,0,3.506592732400577e-09,0.0003159046173095,0.0002129077911376,True,Python,,,
brusselator,Y(t),GP_RBF_Python,0.0,0,0.0602001194140899,1.0985801219940186,0.3491890430450439,True,Python,,,
brusselator,Y(t),GP_RBF_Python,0.0,1,0.6258565014035519,1.0985801219940186,0.3491890430450439,True,Python,,,
brusselator,Y(t),GP_RBF_Python,0.0,2,5.719778251937727,1.0985801219940186,0.3491890430450439,True,Python,,,
brusselator,Y(t),GP_RBF_Python,0.0,3,94.13613689813654,1.0985801219940186,0.3491890430450439,True,Python,,,
brusselator,Y(t),GP_Matern_Python,0.0,0,8.258086598512801e-08,1.1799495220184326,0.4044647216796875,True,Python,,,
brusselator,Y(t),GP_Matern_Python,0.0,1,0.290339575009719,1.1799495220184326,0.4044647216796875,True,Python,,,
brusselator,Y(t),GP_Matern_Python,0.0,2,2.998107025506917,1.1799495220184326,0.4044647216796875,True,Python,,,
brusselator,Y(t),GP_Matern_Python,0.0,3,62.49096315527903,1.1799495220184326,0.4044647216796875,True,Python,,,
brusselator,Y(t),Chebyshev_Python,0.0,0,0.445253723945077,0.0009124279022216,0.000385046005249,True,Python,,,
brusselator,Y(t),Chebyshev_Python,0.0,1,1.804581321306985,0.0009124279022216,0.000385046005249,True,Python,,,
brusselator,Y(t),Chebyshev_Python,0.0,2,11.427557189752656,0.0009124279022216,0.000385046005249,True,Python,,,
brusselator,Y(t),Chebyshev_Python,0.0,3,106.78646846623585,0.0009124279022216,0.000385046005249,True,Python,,,
brusselator,Y(t),Polynomial_Python,0.0,0,0.7994779797588593,0.2642374038696289,0.0039427280426025,True,Python,,,
brusselator,Y(t),Polynomial_Python,0.0,1,1.7861607275870526,0.2642374038696289,0.0039427280426025,True,Python,,,
brusselator,Y(t),Polynomial_Python,0.0,2,,0.2642374038696289,0.0039427280426025,True,Python,,,
brusselator,Y(t),Polynomial_Python,0.0,3,,0.2642374038696289,0.0039427280426025,True,Python,,,
brusselator,Y(t),SavitzkyGolay_Python,0.0,0,0.383153329872298,0.0012915134429931,0.0011560916900634,True,Python,,,
brusselator,Y(t),SavitzkyGolay_Python,0.0,1,1.3932130767278548,0.0012915134429931,0.0011560916900634,True,Python,,,
brusselator,Y(t),SavitzkyGolay_Python,0.0,2,7.627415931177513,0.0012915134429931,0.0011560916900634,True,Python,,,
brusselator,Y(t),SavitzkyGolay_Python,0.0,3,98.68165999178898,0.0012915134429931,0.0011560916900634,True,Python,,,
brusselator,Y(t),Butterworth_Python,0.0,0,1.0040152327431449,0.0008525848388671,0.0007352828979492,True,Python,,,
brusselator,Y(t),Butterworth_Python,0.0,1,1.676058742070306,0.0008525848388671,0.0007352828979492,True,Python,,,
brusselator,Y(t),Butterworth_Python,0.0,2,7.642009952502282,0.0008525848388671,0.0007352828979492,True,Python,,,
brusselator,Y(t),Butterworth_Python,0.0,3,98.54097021050492,0.0008525848388671,0.0007352828979492,True,Python,,,
brusselator,Y(t),RandomForest_Python,0.0,0,0.0886362690662761,0.1073603630065918,0.1017267704010009,True,Python,,,
brusselator,Y(t),RandomForest_Python,0.0,1,,0.1073603630065918,0.1017267704010009,True,Python,,,
brusselator,Y(t),RandomForest_Python,0.0,2,,0.1073603630065918,0.1017267704010009,True,Python,,,
brusselator,Y(t),RandomForest_Python,0.0,3,,0.1073603630065918,0.1017267704010009,True,Python,,,
brusselator,Y(t),SVR_Python,0.0,0,0.9917406684457172,0.439357042312622,0.0139894485473632,True,Python,,,
brusselator,Y(t),SVR_Python,0.0,1,1.670573552228435,0.439357042312622,0.0139894485473632,True,Python,,,
brusselator,Y(t),SVR_Python,0.0,2,7.642979497182614,0.439357042312622,0.0139894485473632,True,Python,,,
brusselator,Y(t),SVR_Python,0.0,3,98.54093503142664,0.439357042312622,0.0139894485473632,True,Python,,,
brusselator,Y(t),Fourier_Python,0.0,0,0.3253503818171179,0.0010321140289306,0.0003046989440917,True,Python,,,
brusselator,Y(t),Fourier_Python,0.0,1,1.4276085494432211,0.0010321140289306,0.0003046989440917,True,Python,,,
brusselator,Y(t),Fourier_Python,0.0,2,7.476884053997179,0.0010321140289306,0.0003046989440917,True,Python,,,
brusselator,Y(t),Fourier_Python,0.0,3,98.48482843614076,0.0010321140289306,0.0003046989440917,True,Python,,,
brusselator,Y(t),FiniteDiff_Python,0.0,0,0.0,0.0004308223724365,0.0002968311309814,True,Python,,,
brusselator,Y(t),FiniteDiff_Python,0.0,1,0.2881069731171354,0.0004308223724365,0.0002968311309814,True,Python,,,
